trials.label,trials.startVal,trials.stepsizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,key_resp.corr,ISI.started,grating.started,key_resp.started,grating.stopped,trials.response,participant,session,date,expName,psychopyVersion,frameRate
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,1,0,start,4,db,0.05,0,1.1770335,28.0026185,28.0026185,28.316908,1,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,2,1,down,4,db,0.031547867,1,0.0013551,30.550166,30.550166,30.8496647,0,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,3,2,up,4,db,0.05,0,0.0008762,33.1159634,33.1159634,33.4157377,1,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,4,3,up,4,db,0.05,1,0.0011488,35.5989205,35.5989205,35.8986533,1,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,5,4,up,4,db,0.05,1,0.0014933,37.9983052,37.9983052,38.2978793,0,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,6,5,up,4,db,0.07924466,0,0.0009007,40.3977097,40.3977097,40.6974522,0,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,7,6,up,4,db,0.125594322,0,0.0012367,42.7635433,42.7635433,43.0635318,1,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,8,7,up,4,db,0.125594322,1,0.0010759,45.0633101,45.0633101,45.3629821,1,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,9,8,up,4,db,0.125594322,1,0.0012956,47.396306,47.396306,47.6958372,1,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,10,9,down,4,db,0.07924466,1,0.0011014,49.7453537,49.7453537,,0,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,11,10,up,4,db,0.125594322,0,0.0005421,52.0279968,52.0279968,52.3278648,0,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,12,11,up,4,db,0.199053585,0,0.0005645,54.3609269,54.3609269,,0,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,13,12,up,4,db,0.315478672,0,0.0011034,56.6438778,56.6438778,56.9435487,0,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,14,13,up,4,db,0.5,0,0.0010642,58.9601219,58.9601219,,1,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,15,14,up,4,db,0.5,1,0.0010374,61.2258801,61.2258801,61.5258275,1,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,16,15,up,4,db,0.5,1,0.0008733,63.5255877,63.5255877,63.8253235,0,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,17,16,up,4,db,0.792446596,0,0.0009594,65.8415773,65.8415773,,0,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,18,17,up,4,db,1,0,0.0009418,68.1245369,68.1245369,,1,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,19,18,up,4,db,1,1,0.0013912,70.3906641,70.3906641,,0,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,20,19,up,4,db,1,0,0.0017815,72.6567364,72.6567364,72.9564815,1,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,21,20,up,4,db,1,1,0.0015745,75.0229073,75.0229073,75.3223724,1,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,22,21,up,4,db,1,1,0.0007643,77.3225478,77.3225478,77.621912,0,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,23,22,up,4,db,1,0,0.0008976,79.6551328,79.6551328,79.9550222,0,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,24,23,up,4,db,1,0,0.0052455,81.9545392,81.9545392,,1,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,25,24,up,4,db,1,1,0.0005269,84.2370189,84.2370189,84.5366619,0,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,26,25,up,4,db,1,0,0.0008083,86.5536641,86.5536641,,1,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,27,26,up,4,db,1,1,0.0023593,88.8362876,88.8362876,89.1357604,1,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,28,27,up,4,db,1,1,0.0007822,91.2188243,91.2188243,,0,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,29,28,up,4,db,1,0,0.0009874,93.4683507,93.4683507,,1,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,30,29,up,4,db,1,1,0.0011921,95.6511631,95.6511631,95.9508988,1,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,31,30,up,4,db,1,1,0.0007467,97.9675447,97.9675447,,0,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,32,31,up,4,db,1,0,0.0010994,100.2337796,100.2337796,100.5331996,0,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,33,32,up,4,db,1,0,0.0012193,102.5498216,102.5498216,,0,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,34,33,up,4,db,1,0,0.000974,104.8155896,104.8155896,105.1153171,0,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,35,34,up,4,db,1,0,0.0009869,107.1152307,107.1152307,107.4146875,1,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,36,35,up,4,db,1,1,0.0012636,109.5311206,109.5311206,109.831201,0,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,37,36,up,4,db,1,0,0.0016565,111.8475349,111.8475349,112.1470907,0,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,38,37,up,4,db,1,0,0.0011725,114.1638712,114.1638712,,1,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,39,38,up,4,db,1,1,0.0013814,116.4461466,116.4461466,116.7461074,1,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,40,39,up,4,db,1,1,0.0015285,118.745784,118.745784,119.0454987,1,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,41,40,down,4,db,0.630957344,1,0.0015295,121.0783094,121.0783094,121.3781076,0,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,42,41,up,4,db,1,0,0.0009896,123.3948535,123.3948535,123.6942888,0,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,43,42,up,4,db,1,0,0.0010681,125.6941144,125.6941144,,0,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,44,43,up,4,db,1,0,0.0014908,127.9436254,127.9436254,128.2431513,1,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,45,44,up,4,db,1,1,0.0008558,130.2431706,130.2431706,130.5426265,1,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,46,45,up,4,db,1,1,0.0007377,132.5426541,132.5426541,132.8420323,0,88997,1,2022-09-07_15h31.41.706,psy staircase exp,2022.2.3,60.02339712
