3.0383 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
16.8564 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
21.4353 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001D0711BBF70>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001D07210BBE0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
21.4371 	EXP 	window1: mouseVisible = True
21.4388 	EXP 	window1: mouseVisible = False
21.4389 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
21.4390 	EXP 	window1: recordFrameIntervals = False
21.5856 	EXP 	window1: recordFrameIntervals = True
21.7696 	EXP 	Screen (0) actual frame rate measured at 60.02Hz
21.7697 	EXP 	window1: recordFrameIntervals = False
25.7229 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1, 1, 1]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
25.7711 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-2.0, interpolate=True, mask='circle', maskParams=None, name='grating', opacity=1.0, ori=0.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([5., 5.]), size=array([0.1, 0.1]), tex='sin', texRes=128.0, units='height', win=Window(...))
26.3566 	EXP 	Imported conditions.xlsx as conditions, 1 conditions, 5 params
26.9525 	EXP 	window1: recordFrameIntervals = False
26.9849 	EXP 	fixation: autoDraw = True
26.9852 	EXP 	window1: recordFrameIntervals = False
28.0026 	EXP 	grating: autoDraw = True
28.0026 	EXP 	grating: tex = 'sin'
28.0087 	EXP 	fixation: autoDraw = False
28.3169 	EXP 	grating: autoDraw = False
28.5388 	EXP 	window1: recordFrameIntervals = False
28.5441 	DATA 	Keypress: right
28.5506 	EXP 	fixation: autoDraw = False
28.5506 	EXP 	grating: autoDraw = False
28.5510 	EXP 	window1: recordFrameIntervals = False
29.5302 	EXP 	fixation: autoDraw = True
30.5333 	EXP 	fixation: autoDraw = False
30.5502 	EXP 	grating: autoDraw = True
30.5502 	EXP 	grating: tex = 'sin'
30.8497 	EXP 	grating: autoDraw = False
31.1025 	EXP 	window1: recordFrameIntervals = False
31.1040 	DATA 	Keypress: right
31.1166 	EXP 	fixation: autoDraw = False
31.1166 	EXP 	grating: autoDraw = False
31.1169 	EXP 	window1: recordFrameIntervals = False
32.0942 	EXP 	fixation: autoDraw = True
33.0992 	EXP 	fixation: autoDraw = False
33.1160 	EXP 	grating: autoDraw = True
33.1160 	EXP 	grating: tex = 'sin'
33.4157 	EXP 	grating: autoDraw = False
33.5861 	EXP 	window1: recordFrameIntervals = False
33.5881 	DATA 	Keypress: left
33.5990 	EXP 	fixation: autoDraw = False
33.5990 	EXP 	grating: autoDraw = False
33.5994 	EXP 	window1: recordFrameIntervals = False
34.5782 	EXP 	fixation: autoDraw = True
35.5821 	EXP 	fixation: autoDraw = False
35.5989 	EXP 	grating: autoDraw = True
35.5989 	EXP 	grating: tex = 'sin'
35.8987 	EXP 	grating: autoDraw = False
35.9695 	DATA 	Keypress: left
35.9865 	EXP 	window1: recordFrameIntervals = False
35.9987 	EXP 	fixation: autoDraw = False
35.9987 	EXP 	grating: autoDraw = False
35.9993 	EXP 	window1: recordFrameIntervals = False
36.9785 	EXP 	fixation: autoDraw = True
37.9815 	EXP 	fixation: autoDraw = False
37.9983 	EXP 	grating: autoDraw = True
37.9983 	EXP 	grating: tex = 'sin'
38.2979 	EXP 	grating: autoDraw = False
38.3844 	EXP 	window1: recordFrameIntervals = False
38.3863 	DATA 	Keypress: left
38.3981 	EXP 	fixation: autoDraw = False
38.3981 	EXP 	grating: autoDraw = False
38.3984 	EXP 	window1: recordFrameIntervals = False
39.3758 	EXP 	fixation: autoDraw = True
40.3809 	EXP 	fixation: autoDraw = False
40.3977 	EXP 	grating: autoDraw = True
40.3977 	EXP 	grating: tex = 'sin'
40.6975 	EXP 	grating: autoDraw = False
40.7518 	EXP 	window1: recordFrameIntervals = False
40.7539 	DATA 	Keypress: right
40.7642 	EXP 	fixation: autoDraw = False
40.7642 	EXP 	grating: autoDraw = False
40.7645 	EXP 	window1: recordFrameIntervals = False
41.7445 	EXP 	fixation: autoDraw = True
42.7469 	EXP 	fixation: autoDraw = False
42.7635 	EXP 	grating: autoDraw = True
42.7635 	EXP 	grating: tex = 'sin'
43.0328 	DATA 	Keypress: left
43.0501 	EXP 	window1: recordFrameIntervals = False
43.0635 	EXP 	grating: autoDraw = False
43.0635 	EXP 	fixation: autoDraw = False
43.0635 	EXP 	grating: autoDraw = False
43.0639 	EXP 	window1: recordFrameIntervals = False
44.0422 	EXP 	fixation: autoDraw = True
45.0465 	EXP 	fixation: autoDraw = False
45.0633 	EXP 	grating: autoDraw = True
45.0633 	EXP 	grating: tex = 'sin'
45.3630 	EXP 	grating: autoDraw = False
45.3838 	EXP 	window1: recordFrameIntervals = False
45.3855 	DATA 	Keypress: left
45.3963 	EXP 	fixation: autoDraw = False
45.3963 	EXP 	grating: autoDraw = False
45.3966 	EXP 	window1: recordFrameIntervals = False
46.3751 	EXP 	fixation: autoDraw = True
47.3793 	EXP 	fixation: autoDraw = False
47.3963 	EXP 	grating: autoDraw = True
47.3963 	EXP 	grating: tex = 'sin'
47.6958 	EXP 	grating: autoDraw = False
47.7335 	EXP 	window1: recordFrameIntervals = False
47.7360 	DATA 	Keypress: left
47.7458 	EXP 	fixation: autoDraw = False
47.7458 	EXP 	grating: autoDraw = False
47.7462 	EXP 	window1: recordFrameIntervals = False
48.7244 	EXP 	fixation: autoDraw = True
49.7286 	EXP 	fixation: autoDraw = False
49.7454 	EXP 	grating: autoDraw = True
49.7454 	EXP 	grating: tex = 'sin'
50.0137 	EXP 	window1: recordFrameIntervals = False
50.0149 	DATA 	Keypress: left
50.0284 	EXP 	fixation: autoDraw = False
50.0284 	EXP 	grating: autoDraw = False
50.0286 	EXP 	window1: recordFrameIntervals = False
51.0062 	EXP 	fixation: autoDraw = True
52.0113 	EXP 	fixation: autoDraw = False
52.0280 	EXP 	grating: autoDraw = True
52.0280 	EXP 	grating: tex = 'sin'
52.3279 	EXP 	grating: autoDraw = False
52.3464 	EXP 	window1: recordFrameIntervals = False
52.3473 	DATA 	Keypress: right
52.3610 	EXP 	fixation: autoDraw = False
52.3610 	EXP 	grating: autoDraw = False
52.3612 	EXP 	window1: recordFrameIntervals = False
53.3382 	EXP 	fixation: autoDraw = True
54.3441 	EXP 	fixation: autoDraw = False
54.3609 	EXP 	grating: autoDraw = True
54.3609 	EXP 	grating: tex = 'sin'
54.6154 	DATA 	Keypress: left
54.6310 	EXP 	window1: recordFrameIntervals = False
54.6440 	EXP 	fixation: autoDraw = False
54.6440 	EXP 	grating: autoDraw = False
54.6444 	EXP 	window1: recordFrameIntervals = False
55.6209 	EXP 	fixation: autoDraw = True
56.6269 	EXP 	fixation: autoDraw = False
56.6439 	EXP 	grating: autoDraw = True
56.6439 	EXP 	grating: tex = 'sin'
56.9435 	EXP 	grating: autoDraw = False
56.9472 	EXP 	window1: recordFrameIntervals = False
56.9490 	DATA 	Keypress: right
56.9605 	EXP 	fixation: autoDraw = False
56.9605 	EXP 	grating: autoDraw = False
56.9609 	EXP 	window1: recordFrameIntervals = False
57.9384 	EXP 	fixation: autoDraw = True
58.9432 	EXP 	fixation: autoDraw = False
58.9601 	EXP 	grating: autoDraw = True
58.9601 	EXP 	grating: tex = 'sin'
59.2130 	EXP 	window1: recordFrameIntervals = False
59.2150 	DATA 	Keypress: left
59.2262 	EXP 	fixation: autoDraw = False
59.2262 	EXP 	grating: autoDraw = False
59.2265 	EXP 	window1: recordFrameIntervals = False
60.2047 	EXP 	fixation: autoDraw = True
61.2092 	EXP 	fixation: autoDraw = False
61.2259 	EXP 	grating: autoDraw = True
61.2259 	EXP 	grating: tex = 'sin'
61.5128 	EXP 	window1: recordFrameIntervals = False
61.5144 	DATA 	Keypress: left
61.5258 	EXP 	grating: autoDraw = False
61.5258 	EXP 	fixation: autoDraw = False
61.5258 	EXP 	grating: autoDraw = False
61.5261 	EXP 	window1: recordFrameIntervals = False
62.5052 	EXP 	fixation: autoDraw = True
63.5087 	EXP 	fixation: autoDraw = False
63.5256 	EXP 	grating: autoDraw = True
63.5256 	EXP 	grating: tex = 'sin'
63.8253 	EXP 	grating: autoDraw = False
63.8293 	EXP 	window1: recordFrameIntervals = False
63.8314 	DATA 	Keypress: left
63.8419 	EXP 	fixation: autoDraw = False
63.8419 	EXP 	grating: autoDraw = False
63.8422 	EXP 	window1: recordFrameIntervals = False
64.8202 	EXP 	fixation: autoDraw = True
65.8247 	EXP 	fixation: autoDraw = False
65.8416 	EXP 	grating: autoDraw = True
65.8416 	EXP 	grating: tex = 'sin'
66.1113 	EXP 	window1: recordFrameIntervals = False
66.1134 	DATA 	Keypress: right
66.1246 	EXP 	fixation: autoDraw = False
66.1246 	EXP 	grating: autoDraw = False
66.1249 	EXP 	window1: recordFrameIntervals = False
67.1022 	EXP 	fixation: autoDraw = True
68.1077 	EXP 	fixation: autoDraw = False
68.1245 	EXP 	grating: autoDraw = True
68.1245 	EXP 	grating: tex = 'sin'
68.3789 	EXP 	window1: recordFrameIntervals = False
68.3814 	DATA 	Keypress: left
68.3912 	EXP 	fixation: autoDraw = False
68.3912 	EXP 	grating: autoDraw = False
68.3918 	EXP 	window1: recordFrameIntervals = False
69.3716 	EXP 	fixation: autoDraw = True
70.3738 	EXP 	fixation: autoDraw = False
70.3907 	EXP 	grating: autoDraw = True
70.3907 	EXP 	grating: tex = 'sin'
70.6464 	EXP 	window1: recordFrameIntervals = False
70.6487 	DATA 	Keypress: left
70.6572 	EXP 	fixation: autoDraw = False
70.6572 	EXP 	grating: autoDraw = False
70.6577 	EXP 	window1: recordFrameIntervals = False
71.6366 	EXP 	fixation: autoDraw = True
72.6397 	EXP 	fixation: autoDraw = False
72.6567 	EXP 	grating: autoDraw = True
72.6567 	EXP 	grating: tex = 'sin'
72.9565 	EXP 	grating: autoDraw = False
73.0123 	EXP 	window1: recordFrameIntervals = False
73.0159 	DATA 	Keypress: right
73.0232 	EXP 	fixation: autoDraw = False
73.0232 	EXP 	grating: autoDraw = False
73.0236 	EXP 	window1: recordFrameIntervals = False
74.0017 	EXP 	fixation: autoDraw = True
75.0061 	EXP 	fixation: autoDraw = False
75.0229 	EXP 	grating: autoDraw = True
75.0229 	EXP 	grating: tex = 'sin'
75.3085 	EXP 	window1: recordFrameIntervals = False
75.3101 	DATA 	Keypress: right
75.3224 	EXP 	grating: autoDraw = False
75.3224 	EXP 	fixation: autoDraw = False
75.3224 	EXP 	grating: autoDraw = False
75.3226 	EXP 	window1: recordFrameIntervals = False
76.2997 	EXP 	fixation: autoDraw = True
