2.8292 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
21.3946 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
24.8669 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001702952A040>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001702A46FC70>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
24.8670 	EXP 	window1: mouseVisible = True
24.8671 	EXP 	window1: mouseVisible = False
24.8671 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
24.8672 	EXP 	window1: recordFrameIntervals = False
25.0332 	EXP 	window1: recordFrameIntervals = True
25.2167 	EXP 	Screen (0) actual frame rate measured at 60.01Hz
25.2167 	EXP 	window1: recordFrameIntervals = False
27.9587 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1, 1, 1]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
27.9879 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([0.3, 0.3, 0.3]), colorSpace='rgb', contrast=0.3, depth=-1.0, interpolate=True, mask='gauss', maskParams=None, name='grating', opacity=1.0, ori=1.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([5., 5.]), size=array([0.2, 0.2]), tex='sin', texRes=128.0, units='height', win=Window(...))
27.9951 	EXP 	Created sequence: random, trialTypes=1, nReps=100, seed=None
27.9956 	EXP 	New trial (rep=0, index=0): None
28.0107 	EXP 	grating: ori = -2.0
28.0107 	EXP 	fixation: autoDraw = True
29.0355 	EXP 	grating: autoDraw = True
29.0355 	EXP 	grating: tex = 'sin'
29.0396 	EXP 	fixation: autoDraw = False
29.3487 	EXP 	grating: autoDraw = False
29.8524 	EXP 	New trial (rep=1, index=0): None
29.8544 	DATA 	Keypress: down
29.8653 	EXP 	fixation: autoDraw = False
29.8653 	EXP 	grating: autoDraw = False
29.8653 	EXP 	grating: ori = 0.0
29.8653 	EXP 	fixation: autoDraw = True
30.8650 	EXP 	fixation: autoDraw = False
30.8650 	EXP 	grating: autoDraw = True
31.1648 	EXP 	grating: autoDraw = False
31.5842 	EXP 	New trial (rep=2, index=0): None
31.5854 	DATA 	Keypress: down
31.5981 	EXP 	fixation: autoDraw = False
31.5981 	EXP 	grating: autoDraw = False
31.5981 	EXP 	grating: ori = 0.0
31.5981 	EXP 	fixation: autoDraw = True
32.5980 	EXP 	fixation: autoDraw = False
32.5980 	EXP 	grating: autoDraw = True
32.8978 	EXP 	grating: autoDraw = False
33.4506 	EXP 	New trial (rep=3, index=0): None
33.4517 	DATA 	Keypress: up
33.4641 	EXP 	fixation: autoDraw = False
33.4641 	EXP 	grating: autoDraw = False
33.4641 	EXP 	grating: ori = 2.0
33.4641 	EXP 	fixation: autoDraw = True
34.4642 	EXP 	fixation: autoDraw = False
34.4642 	EXP 	grating: autoDraw = True
34.7641 	EXP 	grating: autoDraw = False
35.1003 	EXP 	New trial (rep=4, index=0): None
35.1016 	DATA 	Keypress: up
35.1140 	EXP 	fixation: autoDraw = False
35.1140 	EXP 	grating: autoDraw = False
35.1140 	EXP 	grating: ori = 0.0
35.1140 	EXP 	fixation: autoDraw = True
36.1139 	EXP 	fixation: autoDraw = False
36.1139 	EXP 	grating: autoDraw = True
36.4137 	EXP 	grating: autoDraw = False
36.8999 	EXP 	New trial (rep=5, index=0): None
36.9012 	DATA 	Keypress: down
36.9135 	EXP 	fixation: autoDraw = False
36.9135 	EXP 	grating: autoDraw = False
36.9135 	EXP 	grating: ori = 0.0
36.9135 	EXP 	fixation: autoDraw = True
37.9134 	EXP 	fixation: autoDraw = False
37.9134 	EXP 	grating: autoDraw = True
38.2132 	EXP 	grating: autoDraw = False
38.5328 	EXP 	New trial (rep=6, index=0): None
38.5341 	DATA 	Keypress: down
38.5465 	EXP 	fixation: autoDraw = False
38.5465 	EXP 	grating: autoDraw = False
38.5465 	EXP 	grating: ori = 0.0
38.5465 	EXP 	fixation: autoDraw = True
39.5464 	EXP 	fixation: autoDraw = False
39.5464 	EXP 	grating: autoDraw = True
39.8462 	EXP 	grating: autoDraw = False
40.1490 	EXP 	New trial (rep=7, index=0): None
40.1502 	DATA 	Keypress: down
40.1628 	EXP 	fixation: autoDraw = False
40.1628 	EXP 	grating: autoDraw = False
40.1628 	EXP 	grating: ori = 1.0
40.1628 	EXP 	fixation: autoDraw = True
41.1626 	EXP 	fixation: autoDraw = False
41.1626 	EXP 	grating: autoDraw = True
